country,emit,gdpcap,renewable,popdense,consumption,investment,govspend
Albania,1.60377515,3952.802538,100,105.135146,80.69475921,24.41349028,11.11063531
Algeria,3.933495912,4177.889542,0.322683799,16.68024357,41.01047731,42.25688199,21.56034584
Angola,1.13504405,3127.890598,53.17492831,22.3665517,52.74399652,28.20960509,16.43283283
Antigua and Barbuda,5.236665308,14285.32978,0,212.6613636,66.5977357,23.92843586,16.26094257
Argentina,4.301913876,13789.06042,28.14006912,15.76063274,65.90583734,15.56474508,18.09837976
Armenia,1.825292244,3607.289299,28.33696628,102.7593607,77.91584685,20.6125616,13.11159781
Australia,15.863288,56707.02208,13.63784109,3.100112596,56.85516388,26.2269692,18.34873802
Austria,7.317158873,44195.81759,76.49077927,104.7345977,52.68283198,22.69670746,19.76169058
Azerbaijan,3.292452869,5500.310382,7.039857421,116.7310768,56.69014344,27.82530342,12.40823832
"Bahamas, The",5.905932758,31699.35863,0,37.38261738,63.24703462,23.55946349,12.26110488
Bahrain,22.29101801,22634.08565,0,1763.307198,45.50091477,24.07203744,17.6852499
Bangladesh,0.461997426,1248.45331,1.226889902,1200.401682,72.43728948,28.88668925,5.404240381
Barbados,4.451033309,16558.86478,0,663.5511628,76.82861666,16.68714838,13.60777454
Belarus,5.79426692,5967.052204,0.815679831,46.61133719,52.87734453,28.65431481,14.92176438
Belgium,8.437851999,41008.29672,20.80002301,372.3314399,51.33894439,22.96342177,23.61508745
Belize,1.884042732,4805.196852,45.23993047,15.82314774,71.75721068,20.5152395,15.6833759
Benin,0.520992816,1076.796698,5.555555556,93.79178787,75.17216427,20.49573923,11.41138015
Bhutan,1.057859388,2752.630172,99.99354643,19.09607262,55.29216429,55.73257975,18.25620434
Bolivia,1.909890716,3035.971655,31.40243902,10.0339075,68.41971807,21.37105961,17.49525823
Bosnia and Herzegovina,5.721181036,4729.690054,35.51730757,66.97972656,79.38003961,21.12313447,21.99808043
Botswana,3.277194971,6402.910183,0.033704078,3.742021774,46.31595938,27.0074277,31.52752088
Brazil,2.373628508,8813.989806,73.96690805,24.46378728,63.96479728,17.83580704,19.77681995
Brunei Darussalam,15.42488346,31164.03625,0.047619048,78.7313093,19.78560412,35.02643717,25.06167623
Bulgaria,6.207865317,7074.681023,17.988593,66.120035,62.02332585,20.85317421,16.08416117
Burkina Faso,0.204300066,653.3272681,9.354038684,66.19377193,71.52311027,19.14721161,15.94408026
Burundi,0.039369948,305.5111441,82.70938513,395.6399533,75.41790851,12.32608239,22.42238344
Cambodia,0.543119905,1162.904995,46.41801228,87.93017788,76.80514753,21.4349625,5.397979837
